Index	Kernel	sm__throughput.avg.pct_of_peak_sustained_elapsed	gpu__compute_memory_throughput.avg.pct_of_peak_sustained_elapsed	l1tex__throughput.avg.pct_of_peak_sustained_active	lts__throughput.avg.pct_of_peak_sustained_elapsed	gpu__dram_throughput.avg.pct_of_peak_sustained_elapsed	sm__issue_active.avg.pct_of_peak_sustained_elapsed	sm__inst_executed.avg.pct_of_peak_sustained_elapsed	sm__pipe_alu_cycles_active.avg.pct_of_peak_sustained_elapsed	sm__pipe_fma_cycles_active.avg.pct_of_peak_sustained_elapsed	sm__inst_executed_pipe_lsu.avg.pct_of_peak_sustained_elapsed	sm__inst_executed_pipe_adu.avg.pct_of_peak_sustained_elapsed	sm__mio2rf_writeback_active.avg.pct_of_peak_sustained_elapsed	sm__inst_executed_pipe_fp16.avg.pct_of_peak_sustained_elapsed	sm__inst_executed_pipe_xu.avg.pct_of_peak_sustained_elapsed	sm__pipe_fp64_cycles_active.avg.pct_of_peak_sustained_elapsed	sm__pipe_shared_cycles_active.avg.pct_of_peak_sustained_elapsed	sm__pipe_tensor_cycles_active.avg.pct_of_peak_sustained_elapsed	gpc__cycles_elapsed.max
0	void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<float>, at::detail::Array<char *, (int)1>>(int, T2, T3)	0.01	0.16	29.2	0.16	0.01	0.01	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2310.0
1	void at::native::vectorized_elementwise_kernel<(int)4, at::native::sin_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 4)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)	29.07	62.6	38.16	40.33	62.6	28.65	28.59	13.34	29.07	3.81	1.91	2.86	0.0	15.25	0.0	0.0	0.0	10088.0
6	void at::native::vectorized_elementwise_kernel<(int)4, at::native::cos_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 2)]::operator ()() const::[lambda(double) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)	16.37	81.19	56.8	47.48	81.19	13.71	13.71	6.68	4.23	2.73	13.66	4.65	0.0	4.36	16.37	16.37	0.0	300601.0
16	void at::native::vectorized_elementwise_kernel<(int)4, at::native::sqrt_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 4)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)	1.6	5.3	4.87	4.06	5.3	1.55	1.5	0.56	1.18	0.38	0.19	0.28	0.0	0.75	0.0	0.0	0.0	3404.0
27	void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<float, float, float, at::native::DivFunctor<float>>, at::detail::Array<char *, (int)3>>(int, T2, T3)	2.48	9.7	6.15	5.52	9.7	2.35	2.31	0.26	2.48	0.77	0.17	0.43	0.0	1.37	0.0	0.0	0.0	3743.0
44	void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<float, float, float, at::native::DivFunctor<float>>, at::detail::Array<char *, (int)3>>(int, T2, T3)	5.2	7.55	4.43	4.32	7.55	4.49	4.45	2.5	3.04	0.88	0.13	0.34	0.0	1.08	0.0	0.0	0.0	4762.0
48	void at::native::vectorized_elementwise_kernel<(int)4, at::native::neg_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 6)]::operator ()() const::[lambda(double) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)	2.4	83.82	52.18	44.82	83.82	1.63	1.63	0.3	1.04	1.78	0.59	1.49	0.0	0.0	1.18	1.18	0.0	277657.0
105	void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl<at::native::<unnamed>::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 2)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)	37.46	47.09	33.28	22.13	47.09	37.46	37.39	37.39	17.66	12.46	4.15	4.15	0.0	0.0	0.0	0.0	0.0	39563.0
106	void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<float, float, float, void at::native::threshold_kernel_impl<float>(at::TensorIteratorBase &, T1, T1)::[lambda(float, float) (instance 1)]>, at::detail::Array<char *, (int)3>>(int, T2, T3)	0.38	5.6	8.1	3.27	5.6	0.38	0.34	0.25	0.23	0.25	0.1	0.25	0.0	0.0	0.0	0.0	0.0	3182.0
107	void at::native::reduce_kernel<(int)128, (int)4, at::native::ReduceOp<float, at::native::func_wrapper_t<float, at::native::sum_functor<float, float, float>::operator ()(at::TensorIterator &)::[lambda(float, float) (instance 1)]>, unsigned int, float, (int)4>>(T3)	6.2	45.48	23.37	22.53	45.48	6.2	6.03	4.21	5.05	1.79	0.77	1.98	0.0	0.08	0.0	0.0	0.0	50522.0
108	void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<float, float, float, at::native::MulFunctor<float>>, at::detail::Array<char *, (int)2>>(int, T2, T3)	0.58	6.02	5.72	4.58	6.02	0.58	0.53	0.16	0.53	0.42	0.21	0.32	0.0	0.0	0.0	0.0	0.0	3016.0
116	void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<float, float, float, at::native::MulFunctor<float>>, at::detail::Array<char *, (int)2>>(int, T2, T3)	0.17	1.77	6.24	1.35	1.77	0.17	0.16	0.05	0.16	0.12	0.06	0.09	0.0	0.0	0.0	0.0	0.0	10255.0
159	void splitKreduce_kernel<float, float, float>(cublasSplitKParams<T3>, const T1 *, const T2 *, T2 *, const T3 *, const T3 *)	7.61	20.75	9.99	9.02	20.75	7.05	6.82	7.61	3.06	2.54	0.42	0.95	0.0	1.27	0.0	0.0	0.0	5684.0
177	void at::native::unrolled_elementwise_kernel<at::native::<unnamed>::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 2)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>, TrivialOffsetCalculator<(int)1, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithCast<(int)1>, at::native::memory::StoreWithCast>(int, T1, T2, T3, T4, T5, T6)	21.73	87.1	25.58	33.99	87.1	21.73	21.72	19.19	7.19	5.33	3.23	3.2	0.0	4.26	0.0	0.0	0.0	153891.0
241	void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<float>, at::detail::Array<char *, (int)1>>(int, T2, T3)	1.16	5.66	12.73	5.66	0.01	1.16	1.03	0.49	0.85	0.73	0.49	0.24	0.0	0.0	0.0	0.0	0.0	2631.0
257	void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl<at::native::<unnamed>::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 2)]::operator ()() const::[lambda() (instance 8)]::operator ()() const::[lambda(float) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)	3.45	2.15	2.98	2.15	0.01	3.45	3.15	3.15	1.49	1.05	0.35	0.35	0.0	0.0	0.0	0.0	0.0	3664.0
349	volta_sgemm_32x128_tn	77.6	74.06	80.58	37.87	23.9	57.49	57.48	17.2	77.6	35.83	0.45	23.13	0.0	0.0	0.0	0.0	0.0	273297.0
352	volta_sgemm_32x32_sliced1x4_nt	59.18	48.5	46.57	19.93	48.5	45.2	45.16	15.12	59.18	28.8	0.29	15.13	0.0	0.0	0.0	0.0	0.0	46800.0
